UnitType,UnitID,Number,Title,RecurrenceType,RecurrenceStrategy,DayOfWeek,WeekNumber,DayNumber,InstallationMonth,StartMonth,EndMonth,Months,Override,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,808cc1a8-c7f2-4471-9438-de391647a37b,8099,Meeting,Monthly,Default,Tuesday,3rd,,Jun,Oct,Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,0d371545-999b-41c1-9923-67ce5379cb69,8118,Meeting,Monthly,Default,Tuesday,4th,,Oct,Sep,May,Sep:Oct:Nov:Jan:Feb:Mar:Apr:May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,5b661c57-e6dc-4ffe-a870-78dc67c8cb61,8149,Meeting,Monthly,Default,Wednesday,4th,,,,,Sep:Oct:Nov:Jan:Feb:Mar:May:Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,5b661c57-e6dc-4ffe-a870-78dc67c8cb61,8149,Meeting,Monthly,Default,Wednesday,3rd,,Apr,,,Apr:Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,ab0477a6-cb21-46db-afe6-7cafb4903162,8315,Meeting,Monthly,Default,Friday,4th,,Apr,,,Oct:Nov:Jan:Feb:Mar:Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,a4bde195-e260-49d2-9f64-34ffe47a51e2,8479,Meeting,Monthly,Default,Monday,2nd,,May,Sep,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,32eb7ecc-8ed4-44b7-9b37-7ee2354a10ae,8641,Meeting,Monthly,Default,Wednesday,2nd,,Sep,,,Sep:Oct:Nov:Jan:Feb:Mar:Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,32eb7ecc-8ed4-44b7-9b37-7ee2354a10ae,8641,Meeting,Yearly,Default,Tuesday,3rd,,,Dec,Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,d9596ea7-27ef-4eb6-aa9b-1c41b4f49e58,8726,Meeting,Monthly,Default,Thursday,1st,,Nov,,,Feb:Mar:Apr:May:Jun:Sep:Oct:Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,d6893cce-3d9f-4f41-883a-fe1fbc002227,9050,Meeting,Monthly,Default,Wednesday,2nd,,Sep,,,Sep:Oct:Nov:Jan:Feb:Mar:Apr:May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,3529c333-7a5f-44e3-82e7-2edd7e344383,9177,Meeting,Monthly,Default,Thursday,1st,,Sep,,,Sep:Oct:Nov:Dec:Feb:Mar:May:Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,d63afce0-2489-4b6b-b994-9849bb2ddbdc,9546,Meeting,Monthly,Default,Thursday,3rd,,,,,Feb:Apr:May:Jun:Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,d63afce0-2489-4b6b-b994-9849bb2ddbdc,9546,Installation,Yearly,Default,Friday,3rd,,,Mar,Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,0f1e20b0-f71e-45e3-b3f8-cacd27a4fd12,9649,Meeting,Monthly,Default,Thursday,2nd,,Mar,,,Mar:May:Sep:Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,b537f8b6-23d6-4148-8e13-ca486d5d72c2,9689,Meeting,Monthly,Default,Saturday,2nd,,Feb,,,Feb:Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,b537f8b6-23d6-4148-8e13-ca486d5d72c2,9689,Meeting,Monthly,Default,Friday,3rd,,,,,Apr:Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,b537f8b6-23d6-4148-8e13-ca486d5d72c2,9689,Meeting,Yearly,Default,Saturday,3rd,,,Nov,Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,b537f8b6-23d6-4148-8e13-ca486d5d72c2,9689,Meeting,Yearly,Default,Friday,2nd,,,Dec,Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,d3ffcf3b-b3a0-46db-a1ff-a263af164f40,9942,Meeting,Monthly,Default,Tuesday,1st,,,,,Jun:Oct:Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,d3ffcf3b-b3a0-46db-a1ff-a263af164f40,9942,Meeting,Yearly,Default,Monday,Last,,,Feb,Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,d3ffcf3b-b3a0-46db-a1ff-a263af164f40,9942,Installation,Yearly,Default,Saturday,1st,,,Apr,Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,32c0225f-7dfb-4303-b450-80fbda52bea4,386,Meeting,Monthly,Default,Wednesday,3rd,,Oct,,,Jan:Apr:Jul:Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoyalArch,2b720404-d8fe-411b-8116-aef3ef0e43fd,170,Meeting,Monthly,Default,Friday,1st,,Nov,,,Oct:Nov:Dec:Feb:Mar:Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoyalArch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
